idVenta,idCliente,idVendedor,fechaHora,tipoVenta,metodoPago,subtotal,descuento,total,estado
1,0,1,2026-05-06 10:30:00,INSTANTANEA,EFECTIVO,240.0,0.0,240.0,COMPLETADA
2,0,3,2026-05-06 11:45:00,INSTANTANEA,TARJETA,180.0,10.0,162.0,COMPLETADA
3,0,5,2026-05-06 14:20:00,PEDIDO,CREDITO,1200.0,0.0,1200.0,PENDIENTE
4,0,1,2026-05-07 09:15:00,INSTANTANEA,EFECTIVO,560.0,5.0,532.0,COMPLETADA
5,0,3,2026-05-07 16:30:00,PEDIDO,TARJETA,850.0,0.0,850.0,PENDIENTE
6,0,3,2026-05-08 18:22:20,PEDIDO,TARJETA,915.5,10.0,823.95,COMPLETADA
7,0,3,2026-05-08 18:25:49,INSTANTANEA,EFECTIVO,24660.0,0.0,24660.0,COMPLETADA
8,0,3,2026-05-08 18:45:43,INSTANTANEA,EFECTIVO,47760.0,0.0,47760.0,COMPLETADA
9,2,3,2026-05-09 01:02:11,INSTANTANEA,EFECTIVO,775.0,0.0,775.0,COMPLETADA
10,3,3,2026-05-09 14:14:22,INSTANTANEA,EFECTIVO,8500.0,0.0,8497.0,COMPLETADA
11,2,3,2026-05-09 21:56:16,INSTANTANEA,EFECTIVO,320.0,0.0,320.0,COMPLETADA
12,2,3,2026-05-09 22:23:07,INSTANTANEA,EFECTIVO,420.0,0.0,420.0,COMPLETADA
13,2,3,2026-05-09 22:29:03,INSTANTANEA,EFECTIVO,120.0,0.0,120.0,COMPLETADA
14,2,3,2026-05-09 22:58:25,INSTANTANEA,EFECTIVO,850.0,0.0,850.0,COMPLETADA
15,0,3,2026-05-13 20:15:50,PEDIDO,EFECTIVO,120.0,0.0,120.0,COMPLETADA
16,0,3,2026-05-13 20:16:58,PEDIDO,EFECTIVO,850.0,0.0,850.0,COMPLETADA
17,0,3,2026-05-13 20:17:54,INSTANTANEA,EFECTIVO,120.0,0.0,120.0,COMPLETADA
18,0,3,2026-05-13 21:20:08,INSTANTANEA,EFECTIVO,160.0,0.0,160.0,COMPLETADA
19,0,3,2026-05-13 21:26:17,PEDIDO,EFECTIVO,400.0,0.0,400.0,COMPLETADA
20,0,3,2026-05-13 21:26:56,PEDIDO,DEBITO,160.0,0.0,160.0,COMPLETADA
21,0,3,2026-05-13 21:27:41,PEDIDO,CREDITO,160.0,0.0,160.0,COMPLETADA
22,2,3,2026-05-13 21:38:50,INSTANTANEA,EFECTIVO,850.0,0.0,850.0,COMPLETADA
23,2,3,2026-05-13 21:42:56,PEDIDO,EFECTIVO,850.0,10.0,765.0,COMPLETADA
24,0,3,2026-05-13 21:44:02,PEDIDO,DEBITO,15.5,0.0,15.5,COMPLETADA
25,2,3,2026-05-13 22:35:08,INSTANTANEA,EFECTIVO,850.0,10.0,760.5,COMPLETADA
26,1,3,2026-05-13 23:24:04,INSTANTANEA,EFECTIVO,850.0,10.0,760.0,COMPLETADA
27,1,3,2026-05-13 23:29:54,INSTANTANEA,EFECTIVO,160.0,0.0,150.6,COMPLETADA
28,1,3,2026-05-13 23:39:54,INSTANTANEA,EFECTIVO,850.0,0.0,840.25,COMPLETADA
